Cites,Authors,Title,Year,Source,Publisher
625,"A Poghosyan, A Golkar",CubeSat evolution: Analyzing CubeSat capabilities for conducting science missions,2017,Progress in Aerospace Sciences,Elsevier
333,"N Saeed, A Elzanaty, H Almorad…",CubeSat communications: Recent advances and future challenges,2020,… Surveys &Tutorials,ieeexplore.ieee.org
256,"R Houborg, MF McCabe","A cubesat enabled spatio-temporal enhancement method (cestem) utilizing planet, landsat and modis data",2018,Remote Sensing of Environment,Elsevier
233,"C Underwood, S Pellegrino, VJ Lappas, CP Bridges…",Using CubeSat/micro-satellite technology to demonstrate the Autonomous Assembly of a Reconfigurable Space Telescope (AAReST),2015,Acta Astronautica,Elsevier
228,"N Chahat, RE Hodges, J Sauder…",CubeSat deployable Ka-band mesh reflector antenna development for earth science missions,2016,… on Antennas and …,ieeexplore.ieee.org
212,"SW Cooley, LC Smith, L Stepan, J Mascaro",Tracking dynamic northern surface water changes with high-frequency planet CubeSat imagery,2017,Remote Sensing,mdpi.com
157,"J Schoolcraft, A Klesh, T Werne",MarCO: interplanetary mission development on a CubeSat scale,2017,Space Operations: Contributions from the …,Springer
145,"E Dotto, V Della Corte, M Amoroso, I Bertini…",LICIACube-the Light Italian Cubesat for Imaging of Asteroids in support of the NASA DART mission towards asteroid (65803) Didymos,2021,Planetary and Space …,Elsevier
145,"R Houborg, MF McCabe","Daily Retrieval of NDVI and LAI at 3 m Resolution via the Fusion of CubeSat, Landsat, and MODIS Data",2018,Remote Sensing,mdpi.com
134,"C Nieto-Peroy, MR Emami",CubeSat mission: from design to operation,2019,Applied Sciences,mdpi.com
129,"SW Cooley, LC Smith, JC Ryan…",Arctic‐Boreal lake dynamics revealed using CubeSat imagery,2019,Geophysical …,Wiley Online Library
119,"L Huang, J Luo, Z Lin, F Niu, L Liu",Using deep learning to map retrogressive thaw slumps in the Beiluhe region (Tibetan Plateau) from CubeSat images,2020,Remote Sensing of Environment,Elsevier
114,"H Kimm, K Guan, C Jiang, B Peng, LF Gentry…",Deriving high-spatiotemporal-resolution leaf area index for agroecosystems in the US Corn Belt using Planet Labs CubeSat and STAIR fusion data,2020,Remote Sensing of …,Elsevier
104,"S Chien, J Doubleday, DR Thompson…",Onboard autonomy on the intelligent payload experiment cubesat mission,2017,Journal of Aerospace …,arc.aiaa.org
103,"C Cappelletti, S Battistini, BK Malphrus",Cubesat handbook: From mission design to operations,2020,,books.google.com
97,EL Shkolnik,On the verge of an astronomy CubeSat revolution,2018,Nature Astronomy,nature.com
95,"ME Grøtte, R Birkeland…",Ocean color hyperspectral remote sensing with high resolution and low latency—The HYPSO-1 CubeSat mission,2021,… on Geoscience and …,ieeexplore.ieee.org
94,"G Santilli, C Vendittozzi, C Cappelletti, S Battistini…",CubeSat constellations for disaster management in remote areas,2018,Acta Astronautica,Elsevier
92,"S Nag, AS Li, JH Merrick",Scheduling algorithms for rapid imaging using agile Cubesat constellations,2018,Advances in Space Research,Elsevier
88,"N Bosanac, AD Cox, KC Howell, DC Folta",Trajectory design for a cislunar cubesat leveraging dynamical systems techniques: The lunar icecube mission,2018,Acta Astronautica,Elsevier
79,"L Mazzarella, C Lowe, D Lowndes, SK Joshi…",Quarc: Quantum research cubesat—a constellation for quantum communication,2020,Cryptography,mdpi.com
79,"F Ferrari, V Franzese, M Pugliatti, C Giordano…",Preliminary mission profile of Hera's Milani CubeSat,2021,Advances in Space …,Elsevier
78,"JP Mason, TN Woods, A Caspi…","Miniature X-ray solar spectrometer: A science-oriented, university 3U CubeSat",2016,Journal of Spacecraft …,arc.aiaa.org
76,"F Topputo, Y Wang, C Giordano, V Franzese…",Envelop of reachable asteroids by M-ARGO CubeSat,2021,Advances in Space …,Elsevier
74,"IF Akyildiz, JM Jornet, S Nie",A new CubeSat design with reconfigurable multi-band radios for dynamic spectrum satellite communication networks,2019,Ad Hoc Networks,Elsevier
73,"CWT Roscoe, JJ Westphal, E Mosleh",Overview and GNC design of the CubeSat Proximity Operations Demonstration (CPOD) mission,2018,Acta Astronautica,Elsevier
72,"J Crusan, C Galica",NASA's CubeSat Launch Initiative: Enabling broad access to space,2019,Acta Astronautica,Elsevier
71,"S Ciaralli, M Coletti, SB Gabriel",Results of the qualification test campaign of a Pulsed Plasma Thruster for Cubesat Propulsion (PPTCUP),2016,Acta Astronautica,Elsevier
71,"D Feng, CJ Gleason, X Yang…","Comparing discharge estimates made via the BAM algorithm in high‐order Arctic rivers derived solely from optical CubeSat, Landsat, and Sentinel‐2 data",2019,Water Resources …,Wiley Online Library
70,"S Corpino, F Stesina",Verification of a CubeSat via hardware-in-the-loop simulation,2014,IEEE Transactions on Aerospace and …,ieeexplore.ieee.org
70,"E Escobar, M Diaz, JC Zagal",Evolutionary design of a satellite thermal control system: Real experiments for a CubeSat mission,2016,Applied Thermal Engineering,Elsevier
65,"E Peral, S Tanelli, S Statham, S Joshi…",RainCube: the first ever radar measurements from a CubeSat in space,2019,Journal of Applied …,spiedigitallibrary.org
63,"MG Ziliani, MU Altaf, B Aragon, R Houborg…",Early season prediction of within-field crop yield variability by assimilating CubeSat data into a crop model,2022,Agricultural and forest …,Elsevier
63,"J Bouwmeester, M Langer, E Gill",Survey on the implementation and reliability of CubeSat electrical bus interfaces,2017,Ceas space journal,Springer
62,"E Shakhmatov, I Belokonov, I Timbai, E Ustiugov…",SSAU project of the nanosatellite SamSat-QB50 for monitoring the Earth's thermosphere parameters,2015,Procedia …,Elsevier
61,"J Praks, MR Mughal, R Vainio, P Janhunen, J Envall…","Aalto-1, multi-payload CubeSat: Design, integration and launch",2021,Acta Astronautica,Elsevier
61,"H Hakima, MCF Bazzocchi, MR Emami",A deorbiter CubeSat for active orbital debris removal,2018,Advances in Space Research,Elsevier
59,"K Ikeya, H Sakamoto, H Nakanishi, H Furuya, T Tomura…",Significance of 3U CubeSat OrigamiSat-1 for space demonstration of multifunctional deployable membrane,2020,Acta Astronautica,Elsevier
58,"TN Woods, A Caspi, PC Chamberlin…",New solar irradiance measurements from the miniature X-ray solar spectrometer CubeSat,2017,The Astrophysical …,iopscience.iop.org
57,"Y Rahmat-Samii, V Manohar, JM Kovitz…",Development of Highly Constrained 1 m Ka-Band Mesh Deployable Offset Reflector Antenna for Next Generation CubeSat Radars,2019,… on Antennas and …,ieeexplore.ieee.org
57,"A Ali, MR Mughal, H Ali, L Reyneri","Innovative power management, attitude determination and control tile for CubeSat standard NanoSatellites",2014,Acta Astronautica,Elsevier
55,"SP Neumann, SK Joshi, M Fink…",Q3Sat: quantum communications uplink to a 3U CubeSat—feasibility &design,2018,EPJ Quantum …,epjquantumtechnology …
55,"F Ferrari, V Franzese, M Pugliatti, C Giordano…",Trajectory options for hera's milani cubesat around (65803) didymos,2021,The Journal of the …,Springer
53,"S Bakken, MB Henriksen, R Birkeland, DD Langer…",Hypso-1 cubesat: First images and in-orbit characterization,2023,Remote Sensing,mdpi.com
51,"J Kiesbye, D Messmann, M Preisinger, G Reina…",Hardware-in-the-loop and software-in-the-loop testing of the move-ii cubesat,2019,Aerospace,mdpi.com
