task,use_case,model,configuration,matrix,n_runs,unsure_cells,total_cells,unsure_pct,reported_in_main_tables,accuracy_excluded_mean,accuracy_excluded_std,accuracy_absent_mean,accuracy_absent_std,accuracy_incorrect_mean,accuracy_incorrect_std,f1_excluded_mean,f1_excluded_std,f1_absent_mean,f1_absent_std,f1_incorrect_mean,f1_incorrect_std
i,CubeSat,gpt4o,LLM,raw,5,30,180,16.67,yes,0.6838,0.1047,0.7222,0.1361,0.5556,0.0,0.8075,0.0761,0.8075,0.0761,0.7143,0.0
i,CubeSat,gpt4o,RAG R1,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,gpt4o,RAG R2,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,gpt4o,RAG R3,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,gpt4o,RAG R1-R2,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,gpt4o,RAG R1-R3,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,gpt4o,RAG R2-R3,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,gpt4o,RAG R1-R2-R3,raw,5,150,180,83.33,no,1.0,0.0,0.6111,0.0,0.1667,0.0,1.0,0.0,0.4615,0.0,0.2857,0.0
i,CubeSat,deepseek-r1:14b,RAG R3,raw,5,66,180,36.67,yes,0.6889,0.3555,0.7,0.1585,0.5222,0.3657,0.7096,0.3609,0.6019,0.3378,0.5667,0.3591
i,CubeSat,deepseek-r1:14b,RAG R2-R3,raw,5,144,180,80.0,no,0.1389,0.2778,0.4944,0.1,0.1389,0.2778,0.1569,0.3137,0.1569,0.3137,0.1569,0.3137
i,powerscrewdriver,gpt4o,RAG R1,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
i,powerscrewdriver,gpt4o,RAG R2,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
i,powerscrewdriver,gpt4o,RAG R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
i,powerscrewdriver,gpt4o,RAG R1-R2,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
i,powerscrewdriver,gpt4o,RAG R1-R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
i,powerscrewdriver,gpt4o,RAG R2-R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
i,powerscrewdriver,gpt4o,RAG R1-R2-R3,raw,5,210,245,85.71,no,1.0,0.0,0.4694,0.0,0.1429,0.0,1.0,0.0,0.35,0.0,0.25,0.0
