ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Spacecraft,On-Board Computer (OBC),1,1,0.2674179006684172,0.2674179006684172,0.4523986839291855,0.025874098035922458,0.26741790066841725,0.8893682199279181,0.4523986839291855,0.0009677872682007847,0.5642723356388335,1.0,0.5,0.0007659598290608777,inf
Spacecraft,Electrical Power System (EPS),1,1,0.13944665613712315,0.13944665613712315,0.43254287557628607,0.024121404952470546,0.13944665613712315,0.8806032747613002,0.43254287557628607,0.0009272430109993022,0.5310024330351448,1.0,0.5,0.0008614449574714611,inf
Spacecraft,Communication System,1,1,0.25752676927890183,0.25752676927890183,0.45073799098774897,0.025503802064772322,0.2575267692789019,0.888794641127875,0.45073799098774897,0.0009551027283594141,0.5575122248269282,1.0,0.5,0.0007408930242630937,inf
Spacecraft,Attitude Determination and Control System (ADCS),1,1,0.23818050027692528,0.23818050027692528,0.44755590085661995,0.025159897145763218,0.23818050027692528,0.9049291635525067,0.44755590085661995,0.000951243590166623,0.5539016771677685,1.0,0.5,0.0010842700964765295,inf
Spacecraft,Payload,1,1,0.3395234994218521,0.3395234994218521,0.46526187828195736,0.027113318683876994,0.33952349942185206,0.9019657938701778,0.46526187828195736,0.0009933945837122308,0.5816318103818573,1.0,0.5,0.0005957149163277422,inf
Spacecraft,Structural Frame,1,1,0.26656443621213766,0.26656443621213766,0.4522544650168888,0.025976452718009756,0.26656443621213766,0.8877744917519925,0.4522544650168888,0.00097625291169711,0.5622584088327779,1.0,0.5,0.000836103371845364,inf
"Guidance, Navigation, and Control (GNC) Subsystem",On-Board Computer (OBC),1,1,0.422373092435942,0.422373092435942,0.4819678162523176,0.029099536881369823,0.422373092435942,0.9026055179565738,0.4819678162523176,0.0010470441851551464,0.6067624981037085,1.0,0.5,0.001129441942939734,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Electrical Power System (EPS),1,1,0.24258598413206744,0.24258598413206744,0.4482729998301988,0.025534474704526747,0.2425859841320674,0.8857398097805924,0.4482729998301988,0.0009508022930632867,0.5544382750232256,1.0,0.5,0.0006820469853335467,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Communication System,1,1,0.39110332725973207,0.39110332725973207,0.47538984491106323,0.028696812392284003,0.39110332725973207,0.8856428522255209,0.47538984491106323,0.0010352497132505073,0.598641635849133,1.0,0.5,0.000626385721243848,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Attitude Determination and Control System (ADCS),1,1,0.45578473092095784,0.45578473092095784,0.4894094817493292,0.03001892579157507,0.45578473092095784,0.9068818531524776,0.4894094817493292,0.001050881863266484,0.6155632920694754,1.0,0.5,0.0011249571726610326,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Payload,1,1,0.20863918406760973,0.20863918406760973,0.4428575146304254,0.02502213796197053,0.20863918406760973,0.8939343433406111,0.4428575146304254,0.0009535687420034174,0.5484090168238998,1.0,0.5,0.0005177670297780912,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Structural Frame,1,1,0.24670769127208902,0.24670769127208902,0.4489478739436541,0.025948028870092385,0.24670769127208902,0.8967592841195507,0.4489478739436541,0.0009855762897653703,0.5610603465304567,1.0,0.5,0.0007692242015598556,inf
Propulsion Subsystem,On-Board Computer (OBC),1,1,0.2709523441175714,0.2709523441175714,0.45299780952464025,0.02595107205790279,0.27095234411757135,0.8992052474170584,0.45299780952464025,0.0009816777000407819,0.5650993601304864,1.0,0.5,0.0009428510617747563,inf
Propulsion Subsystem,Electrical Power System (EPS),1,1,0.41205538417180887,0.41205538417180887,0.47975798819146653,0.028854760991332724,0.41205538417180887,0.8844112809273506,0.47975798819146653,0.001030142608031717,0.603284255382572,1.0,0.5,0.000929737140912342,inf
Propulsion Subsystem,Communication System,1,1,0.3262007197571192,0.3262007197571192,0.4627784644678872,0.027119498476911252,0.3262007197571192,0.8951179804409343,0.4627784644678872,0.0009971475612309422,0.5813854280145059,1.0,0.5,0.0007974695700288712,inf
Propulsion Subsystem,Attitude Determination and Control System (ADCS),1,1,0.35315069043598823,0.35315069043598823,0.4678562248948029,0.027911844890619795,0.3531506904359882,0.8812019824767177,0.4678562248948029,0.0010263418472321061,0.5926193270875021,1.0,0.5,0.0007176787299731186,inf
Propulsion Subsystem,Payload,1,1,0.34012287348876946,0.34012287348876946,0.46537481659107094,0.027502642313933037,0.34012287348876946,0.90965502187827,0.46537481659107094,0.0010136090557760584,0.5858096857165057,1.0,0.5,0.0008118987637052058,inf
Propulsion Subsystem,Structural Frame,1,1,0.29669929932618855,0.29669929932618855,0.4574560605518945,0.026281157965706365,0.29669929932618855,0.8948225372931206,0.4574560605518945,0.0009750533318580599,0.5687771679266522,1.0,0.5,0.0008334594182729895,inf
