ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Spacecraft,Structure/Chassis,1,1,0.317029576142561,0.317029576142561,0.46109833895962293,0.026815921234703412,0.317029576142561,0.9022355081446888,0.46109833895962293,0.0009861558322764327,0.5766672496340448,1.0,0.5,0.0009003738222657089,inf
Spacecraft,Power System,1,1,0.16176479922878184,0.16176479922878184,0.43577050707943854,0.02421392663285092,0.16176479922878184,0.89439822733961,0.43577050707943854,0.000924589981077948,0.5374688813716822,1.0,0.5,0.000888361510738604,inf
Spacecraft,Communication System,1,1,0.25752676927890183,0.25752676927890183,0.45073799098774897,0.025503802064772322,0.2575267692789019,0.888794641127875,0.45073799098774897,0.0009551027283594141,0.5575122248269282,1.0,0.5,0.0007408930242630937,inf
Spacecraft,Onboard Computer,1,1,0.33239166353846505,0.33239166353846505,0.46392608356037845,0.027571603845830146,0.33239166353846505,0.8813427300579489,0.46392608356037845,0.0010258583571832074,0.5868317541019825,1.0,0.5,0.000847493381436266,inf
Spacecraft,Attitude Control System,1,1,0.2494340257514971,0.2494340257514971,0.4493964145273456,0.025514418022342746,0.2494340257514971,0.9076121226042609,0.4493964145273456,0.0009647253700326836,0.5584200869345199,1.0,0.5,0.0006917240879011165,inf
Spacecraft,Payload,1,1,0.3395234994218521,0.3395234994218521,0.46526187828195736,0.027113318683876994,0.33952349942185206,0.9019657938701778,0.46526187828195736,0.0009933945837122308,0.5816318103818573,1.0,0.5,0.0005957149163277422,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Structure/Chassis,1,1,0.2929415181941044,0.2929415181941044,0.45679484971804785,0.026496481659567014,0.29294151819410447,0.8990961512459934,0.45679484971804785,0.000989183080298542,0.570930220006954,1.0,0.5,0.0006050269356769891,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Power System,1,1,0.23897922943787075,0.23897922943787075,0.44768559291920196,0.025915470631832214,0.23897922943787073,0.8806187273388729,0.44768559291920196,0.000967934915498919,0.5584443472763382,1.0,0.5,0.0006200312876541618,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Communication System,1,1,0.39110332725973207,0.39110332725973207,0.47538984491106323,0.028696812392284003,0.39110332725973207,0.8856428522255209,0.47538984491106323,0.0010352497132505073,0.598641635849133,1.0,0.5,0.000626385721243848,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Onboard Computer,1,1,0.3943572782725403,0.3943572782725403,0.4760580507781776,0.028577994100974363,0.39435727827254036,0.9178064306633337,0.4760580507781776,0.0010417586520948413,0.5987527794532143,1.0,0.5,0.0012939697194731532,inf
