ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Spacecraft,Satellite housing,1,1,0.47137077821492335,0.47137077821492335,0.4930405482022823,0.03037319721794599,0.47137077821492335,0.9126282754174354,0.4930405482022823,0.001074020036863058,0.6230005738260093,1.0,0.5,0.0007223919978350457,inf
Spacecraft,HyperDuino starter kit,1,1,0.19149741080103777,0.19149741080103777,0.440215410955627,0.024623302560343105,0.1914974108010378,0.9013538601760389,0.440215410955627,0.0009503551011542261,0.5474442114638102,1.0,0.5,0.0007260432626834414,inf
Spacecraft,Sensors for light and temperature,1,1,0.17417345278984897,0.17417345278984897,0.4376048669497009,0.024667750805890835,0.174173452789849,0.8816012182723859,0.4376048669497009,0.0009580393272306144,0.542169158488732,1.0,0.5,0.0010731818319310222,inf
Spacecraft,Power subsystem (battery cable and 9V battery),1,1,0.161406832765846,0.161406832765846,0.4357180282870837,0.024391178299561476,0.161406832765846,0.8625019182831338,0.4357180282870837,0.0009396997203348133,0.5385129587375336,1.0,0.5,0.0008054500738398454,inf
Spacecraft,Communication system,1,1,0.23888144474672246,0.23888144474672246,0.447669716108091,0.02520615924791426,0.23888144474672246,0.8840950129847314,0.447669716108091,0.0009526061448962386,0.5535117449247461,1.0,0.5,0.0006448749563127512,inf
Spacecraft,Base plates and mounting hardware,1,1,0.2198001102766023,0.2198001102766023,0.4446105067710103,0.02519735898791221,0.21980011027660226,0.8852026497263896,0.4446105067710103,0.000956119483734517,0.5538163836738995,1.0,0.5,0.0008114357345583305,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Satellite housing,1,1,0.2514325531641437,0.2514325531641437,0.4497262955860286,0.025761697917100104,0.25143255316414365,0.892639480630122,0.4497262955860286,0.0009693698509002364,0.5610562576888162,1.0,0.5,0.0009974931242749576,inf
"Guidance, Navigation, and Control (GNC) Subsystem",HyperDuino starter kit,1,1,0.14737343149049165,0.14737343149049165,0.43367891397614083,0.024313928113581625,0.14737343149049165,0.8706061754862873,0.43367891397614083,0.0009447320908040862,0.5359834313032883,1.0,0.5,0.00095623979352292,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Sensors for light and temperature,1,1,0.1871069289333427,0.1871069289333427,0.4395482311536709,0.024790166252722554,0.18710692893334271,0.8945178725473666,0.4395482311536709,0.0009556398503234295,0.5457626087281743,1.0,0.5,0.0011812216467580088,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Power subsystem (battery cable and 9V battery),1,1,0.24097484636531508,0.24097484636531508,0.4480102424617091,0.025623520691082147,0.2409748463653151,0.8982740221116684,0.4480102424617091,0.0009662773980545102,0.5570917143713995,1.0,0.5,0.0008235119116291028,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Communication system,1,1,0.34816803192567647,0.34816803192567647,0.4669011402403304,0.02745084155993783,0.34816803192567647,0.9001623723364703,0.4669011402403304,0.0010119765682958992,0.5845393565069323,1.0,0.5,0.0007181848705801732,inf
"Guidance, Navigation, and Control (GNC) Subsystem",Base plates and mounting hardware,1,1,0.21151407367157748,0.21151407367157748,0.44330654327256813,0.025313381318009223,0.21151407367157743,0.8897675313373083,0.44330654327256813,0.0009723874060227482,0.5517907186722052,1.0,0.5,0.0008557464292075307,inf
Propulsion Subsystem,Satellite housing,1,1,0.231899250575758,0.231899250575758,0.44654099988127594,0.025498419399076537,0.23189925057575797,0.8975074541623007,0.44654099988127594,0.0009669825847874482,0.5586559867057075,1.0,0.5,0.001069062969044411,inf
Propulsion Subsystem,HyperDuino starter kit,1,1,0.24347122230745954,0.24347122230745954,0.4484176112564727,0.02565358081223096,0.24347122230745954,0.8962768405759982,0.4484176112564727,0.0009802360644256011,0.5588624181149354,1.0,0.5,0.0007968401208913187,inf
Propulsion Subsystem,Sensors for light and temperature,1,1,0.12377498995532266,0.12377498995532266,0.4303293775080843,0.02400257765142323,0.12377498995532259,0.8860153334605717,0.4303293775080843,0.0009404779096877675,0.529164474541961,1.0,0.5,0.0012113610953162408,inf
Propulsion Subsystem,Power subsystem (battery cable and 9V battery),1,1,0.4100784069790545,0.4100784069790545,0.47933907744072346,0.028792635076967298,0.4100784069790545,0.9128018022448409,0.47933907744072346,0.001041185826523369,0.6038904609361218,1.0,0.5,0.0006685951863228584,inf
Propulsion Subsystem,Communication system,1,1,0.29118246491664856,0.29118246491664856,0.4564865974249188,0.02635680769182479,0.2911824649166485,0.8995875232243221,0.4564865974249188,0.000983463174999287,0.5697658768299242,1.0,0.5,0.0009576869471109963,inf
