ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Transmission (Gears or Belts),1,1,0.191718058901297,0.191718058901297,0.44024903846577723,0.02478473973515818,0.19171805890129698,0.890590135204282,0.44024903846577723,0.0009441404544492184,0.5428876844998781,1.0,0.5,0.0009818646928441874,inf
Bit,Handle,1,1,0.4028320812001529,0.4028320812001529,0.4778157978517206,0.028807284412272646,0.4028320812001529,0.9025467068766482,0.4778157978517206,0.0010378961148539536,0.6012110671130275,1.0,0.5,0.0010741866902932828,inf
Bit,Trigger Mechanism,1,1,0.25296800828179133,0.25296800828179133,0.4499803888713948,0.025656339424697343,0.2529680082817912,0.87407171940424,0.4499803888713948,0.0009581925634223167,0.5560935488800608,1.0,0.5,0.0011399736747511229,inf
Bit,Power Source (Battery or Cord),1,1,0.2161622518738704,0.2161622518738704,0.4440362366687428,0.024794888191585793,0.21616225187387045,0.8978433514727056,0.4440362366687428,0.0009486937827637387,0.5469354974549789,1.0,0.5,0.0006739909186374382,inf
Bit,Bit Holder/Chuck,1,1,0.39728131625026264,0.39728131625026264,0.476661663095228,0.02850171077297251,0.3972813162502626,0.9076718972398743,0.476661663095228,0.0010273773258408793,0.599131821596336,1.0,0.5,0.0012509653263892417,inf
Bit,Control System (Speed and Direction),1,1,0.17071286365080496,0.17071286365080496,0.4370903611135618,0.02430644386187008,0.17071286365080499,0.9008810553763279,0.4370903611135618,0.0009433996507013816,0.5373462958886261,1.0,0.5,0.0009493858620264917,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Transmission (Gears or Belts),1,1,0.6530840657937445,0.6530840657937445,0.5455639415368564,0.0373625499196245,0.6530840657937445,0.9318214024350184,0.5455639415368564,0.001213114699551591,0.6830989130438353,1.0,0.5,0.0007455020962332531,inf
Transmission,Handle,1,1,0.407228051090301,0.407228051090301,0.47873762375454,0.02886091803489743,0.407228051090301,0.88699883521276,0.47873762375454,0.0010337505296790965,0.6031771178607795,1.0,0.5,0.0007998683607290576,inf
Transmission,Trigger Mechanism,1,1,0.45176151496722894,0.45176151496722894,0.48848924995181964,0.030075749465290774,0.45176151496722894,0.909223409536636,0.48848924995181964,0.0010789792856863384,0.6159360496930498,1.0,0.5,0.0006591733287883973,inf
Transmission,Power Source (Battery or Cord),1,1,0.22874031119717864,0.22874031119717864,0.4460339064924506,0.025180227915784507,0.2287403111971787,0.8900816795402761,0.4460339064924506,0.0009569419096120454,0.5529196845576745,1.0,0.5,0.000937961693967537,inf
Transmission,Bit Holder/Chuck,1,1,0.22951334827292336,0.22951334827292336,0.4461577929481694,0.02505828839765553,0.22951334827292327,0.8940975050726305,0.4461577929481694,0.0009637329939779196,0.5516194678533863,1.0,0.5,0.0006416022587941348,inf
Transmission,Control System (Speed and Direction),1,1,0.35672653938828547,0.35672653938828547,0.4685463607220311,0.027692561429897258,0.3567265393882856,0.8947690875020116,0.4685463607220311,0.0010367030835690158,0.5902495884399633,1.0,0.5,0.0007664271389759367,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Transmission (Gears or Belts),1,1,0.381744062019548,0.381744062019548,0.47348808773542483,0.028344729423942484,0.3817440620195481,0.886223690251033,0.47348808773542483,0.0010309158379493326,0.5965426597234675,1.0,0.5,0.0008237421066870823,inf
Motor,Handle,1,1,0.42492706672907565,0.42492706672907565,0.4825210319129048,0.02953982235507325,0.4249270667290756,0.9000548545175042,0.4825210319129048,0.0010617622731063183,0.6122689821626354,1.0,0.5,0.0008421446331060585,inf
Motor,Trigger Mechanism,1,1,0.3765405089674808,0.3765405089674808,0.4724434944840939,0.02797801360405702,0.37654050896748087,0.9041455444870513,0.4724434944840939,0.001021143206324301,0.5935833671627643,1.0,0.5,0.0008906330133295154,inf
Motor,Power Source (Battery or Cord),1,1,0.3609684138759326,0.3609684138759326,0.469370184616855,0.027570888201584657,0.3609684138759326,0.9011233187122224,0.469370184616855,0.0010098682550396087,0.588073858553821,1.0,0.5,0.0007462024383594711,inf
Motor,Bit Holder/Chuck,1,1,0.23842264363467736,0.23842264363467736,0.4475952062786677,0.025325402025708047,0.23842264363467738,0.9000389054471231,0.4475952062786677,0.0009708966043384929,0.555472224476688,1.0,0.5,0.0009167347350732183,inf
Motor,Control System (Speed and Direction),1,1,0.4252943552650812,0.4252943552650812,0.48260079460820493,0.02920423384204657,0.42529435526508125,0.9109614068980334,0.48260079460820493,0.0010562977333832253,0.609779309309815,1.0,0.5,0.0007838275606649357,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
Electrical System,Transmission (Gears or Belts),1,1,0.3125701638059464,0.3125701638059464,0.46028985179231985,0.026772243292989373,0.3125701638059463,0.8917420694361834,0.46028985179231985,0.0009920418728489007,0.5741936841828887,1.0,0.5,0.0006464218174452672,inf
Electrical System,Handle,1,1,0.2067251187208985,0.2067251187208985,0.44255950466760763,0.024944791862910418,0.20672511872089844,0.8765979528811938,0.44255950466760763,0.0009582892528291798,0.5481360625272207,1.0,0.5,0.0007888303767089235,inf
Electrical System,Trigger Mechanism,1,1,0.205451013480629,0.205451013480629,0.4423615571218625,0.025134790143589245,0.20545101348062902,0.8923775132870643,0.4423615571218625,0.0009590485027103879,0.5488371170824745,1.0,0.5,0.0006060793248252595,inf
Electrical System,Power Source (Battery or Cord),1,1,0.3747201232585988,0.3747201232585988,0.4720801727063546,0.02780266050979146,0.3747201232585988,0.9070609451113631,0.4720801727063546,0.0010149725622423788,0.5915743423060827,1.0,0.5,0.0007623542308602776,inf
Electrical System,Bit Holder/Chuck,1,1,0.16405671475690586,0.16405671475690586,0.43610713533852563,0.02438742556062778,0.16405671475690586,0.8927317933914812,0.43610713533852563,0.0009420273814721124,0.5376596643838736,1.0,0.5,0.0006766771796072501,inf
Electrical System,Control System (Speed and Direction),1,1,0.4251823604085728,0.4251823604085728,0.4825764677319878,0.029149844083555112,0.4251823604085729,0.9118685742924156,0.4825764677319878,0.0010418031213114125,0.6071311609315381,1.0,0.5,0.0008890403325523266,inf
Battery Holder,Motor,1,1,0.3194239489123243,0.3194239489123243,0.4615347197339704,0.027029958462954088,0.31942394891232434,0.896528348448915,0.4615347197339704,0.0010113614368002061,0.5801401977741425,1.0,0.5,0.0009221879901595287,inf
