ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2966461094779618,0.2966461094779618,0.45744668085291046,0.02641359061216088,0.29664610947796183,0.9062456772068541,0.45744668085291046,0.0009909837642132506,0.5696091329544349,1.0,0.5,0.0009413915358503403,inf
Bit,Battery,1,1,0.4253405030560199,0.4253405030560199,0.48261082601246424,0.02906283548470656,0.42534050305601984,0.9178347039555579,0.48261082601246424,0.0010395465270048706,0.6057268729369599,1.0,0.5,0.000923506270138337,inf
Bit,Gearbox,1,1,0.24038000234085088,0.24038000234085088,0.44791338198995845,0.025299894064124116,0.24038000234085094,0.8977133258669324,0.44791338198995845,0.0009539379835913918,0.5531712891784236,1.0,0.5,0.0009007101291267351,inf
Bit,Chuck,1,1,0.32052560968912513,0.32052560968912513,0.46173603525690465,0.02699735124671781,0.3205256096891251,0.9048607614349501,0.46173603525690465,0.0009903376505337373,0.5763165655373601,1.0,0.5,0.0012279233208190028,inf
Bit,Handle,1,1,0.4028953745446062,0.4028953745446062,0.47782902415900463,0.02880653023915288,0.4028953745446063,0.9025558501778057,0.47782902415900463,0.0010379509472901525,0.6012119510834493,1.0,0.5,0.0010726940450239161,inf
Bit,Switch,1,1,0.4016377288582127,0.4016377288582127,0.4775665353670776,0.028793838474147442,0.4016377288582128,0.9090468253428596,0.4775665353670776,0.0010364984766012106,0.6022094451820792,1.0,0.5,0.0007391333873747462,inf
Bit,Circuit Board,1,1,0.2573844724254911,0.2573844724254911,0.45071427431475236,0.026009203150434014,0.2573844724254911,0.8995963896029442,0.45071427431475236,0.0009764977306957728,0.5611828151293217,1.0,0.5,0.0006317851478326483,inf
Transmission,Motor,1,1,0.4492477636356229,0.4492477636356229,0.4879177256418739,0.029828775832147672,0.44924776363562297,0.903447096566487,0.4879177256418739,0.0010663588382641624,0.61578740983167,1.0,0.5,0.000916614252108871,inf
Transmission,Battery,1,1,0.3863545788609417,0.3863545788609417,0.4744212020659537,0.028308684914287088,0.3863545788609417,0.9088907172151977,0.4744212020659537,0.0010321384971393945,0.5970519275406303,1.0,0.5,0.0010012177603065556,inf
Transmission,Gearbox,1,1,0.5240499355895913,0.5240499355895913,0.5061615793173159,0.031847817960459275,0.5240499355895913,0.9170402831102683,0.5061615793173159,0.0011254082618739635,0.6382669184390029,1.0,0.5,0.001195871169238731,inf
Transmission,Chuck,1,1,0.30993923058529105,0.30993923058529105,0.45981540663262815,0.026709381016986725,0.30993923058529105,0.855563870679347,0.45981540663262815,0.0009893167617320059,0.5733930588903113,1.0,0.5,0.000535177404245542,inf
Transmission,Handle,1,1,0.40717088932909296,0.40717088932909296,0.4787255907512542,0.02885832779247261,0.40717088932909296,0.8870353576348918,0.4787255907512542,0.0010336895642741842,0.6031462692314231,1.0,0.5,0.0008001387627273872,inf
Transmission,Switch,1,1,0.534509376670077,0.534509376670077,0.5089385553423258,0.032400530791621536,0.5345093766700769,0.9181183052024218,0.5089385553423258,0.001106026776229829,0.6397072778335787,1.0,0.5,0.0006943753641646864,inf
Transmission,Circuit Board,1,1,0.20922369383669925,0.20922369383669925,0.4429486621214199,0.025450731566789696,0.20922369383669928,0.8771703659751737,0.4429486621214199,0.0009681307471204561,0.5525566733972345,1.0,0.5,0.0010548697636035458,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Battery,1,1,0.538788898019722,0.538788898019722,0.5100926560521438,0.032766674583147,0.538788898019722,0.9195294994417524,0.5100926560521438,0.0011347285853286271,0.646974079723977,1.0,0.5,0.0005610056808871279,inf
Motor,Gearbox,1,1,0.47579747574732223,0.47579747574732223,0.49409151859656963,0.0307954839261993,0.4757974757473224,0.9097998198593443,0.49409151859656963,0.001097580949292886,0.6277300880765716,1.0,0.5,0.000892042766149181,inf
