ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Gearbox,1,1,0.24033421337457583,0.24033421337457583,0.4479059271541708,0.02530025138932078,0.2403342133745759,0.8976593320620669,0.4479059271541708,0.0009540953705930834,0.5531769594634944,1.0,0.5,0.0008995489859321036,inf
Bit,Chuck,1,1,0.3205210416702007,0.3205210416702007,0.46173520001612034,0.02699764458223709,0.3205210416702007,0.9048071975711981,0.46173520001612034,0.0009903817295542486,0.5763240759663413,1.0,0.5,0.0012287509625771675,inf
Bit,Trigger Mechanism,1,1,0.25296800828179133,0.25296800828179133,0.4499803888713948,0.025656339424697343,0.2529680082817912,0.87407171940424,0.4499803888713948,0.0009581925634223167,0.5560935488800608,1.0,0.5,0.0011399736747511229,inf
Bit,Battery Pack,1,1,0.2761945181882992,0.2761945181882992,0.45389204237350517,0.026000314626072822,0.27619451818829915,0.8949109850706058,0.45389204237350517,0.0009783010608281602,0.5648216086261132,1.0,0.5,0.0008236882703706416,inf
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Bit,Control Circuitry,1,1,0.21966019604344822,0.21966019604344822,0.4445883718086098,0.02523376217941283,0.21966019604344822,0.9008284785656527,0.4445883718086098,0.0009541401662612551,0.549222360756165,1.0,0.5,0.0008705212370750566,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Gearbox,1,1,0.5240294552071966,0.5240294552071966,0.5061562039318144,0.03184520698984142,0.5240294552071967,0.9170674424253394,0.5061562039318144,0.0011252946662571393,0.6382438080734584,1.0,0.5,0.001194187960037378,inf
Transmission,Chuck,1,1,0.3099397931955332,0.3099397931955332,0.4598155125661336,0.02671070269614806,0.30993979319553316,0.8555736052172824,0.4598155125661336,0.0009893774985490257,0.5734053978197773,1.0,0.5,0.0005326879391124674,inf
Transmission,Trigger Mechanism,1,1,0.45176151496722894,0.45176151496722894,0.48848924995181964,0.030075749465290774,0.45176151496722894,0.909223409536636,0.48848924995181964,0.0010789792856863384,0.6159360496930498,1.0,0.5,0.0006591733287883973,inf
Transmission,Battery Pack,1,1,0.22136326902044368,0.22136326902044368,0.4448581292309038,0.025117734536686868,0.22136326902044373,0.9005859960385355,0.4448581292309038,0.0009718958221987738,0.5519675352116141,1.0,0.5,0.00119612558676696,inf
Transmission,Housing,1,1,0.2449396639551391,0.2449396639551391,0.4486579028622559,0.025847842946450886,0.24493966395513916,0.8775724055913044,0.4486579028622559,0.0009802904625872578,0.5625344873177133,1.0,0.5,0.0007887121330671931,inf
Transmission,Control Circuitry,1,1,0.27332234044251935,0.27332234044251935,0.4534012617666527,0.026206706150648244,0.2733223404425194,0.878604111011224,0.4534012617666527,0.0009852776866056136,0.5654268253304197,1.0,0.5,0.0009693213276490786,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Gearbox,1,1,0.47567355956621316,0.47567355956621316,0.4940619855502062,0.030794420043423955,0.4756735595662132,0.9100007157617989,0.4940619855502062,0.0011002151091001292,0.6276061408365,1.0,0.5,0.0009002879290136432,inf
Motor,Chuck,1,1,0.2631378005027113,0.2631378005027113,0.45167720314612797,0.02620470034466682,0.2631378005027113,0.8702972573392125,0.45167720314612797,0.0009946571300255382,0.5651532920746511,1.0,0.5,0.0011254350539737046,inf
Motor,Trigger Mechanism,1,1,0.3765405089674808,0.3765405089674808,0.4724434944840939,0.02797801360405702,0.37654050896748087,0.9041455444870513,0.4724434944840939,0.001021143206324301,0.5935833671627643,1.0,0.5,0.0008906330133295154,inf
Motor,Battery Pack,1,1,0.3355489625528487,0.3355489625528487,0.4645156135666471,0.02730884290641084,0.3355489625528488,0.9041387869121101,0.4645156135666471,0.0010272582556409423,0.5872780808992426,1.0,0.5,0.0009730001657617401,inf
Motor,Housing,1,1,0.20944736264100472,0.20944736264100472,0.44298356622927043,0.025259487324022608,0.20944736264100478,0.8901465164384914,0.44298356622927043,0.0009763328739749353,0.5543779083268024,1.0,0.5,0.0011473496610564145,inf
Motor,Control Circuitry,1,1,0.38021953247208407,0.38021953247208407,0.47318111427473636,0.027779803489095777,0.3802195324720841,0.9080501017310546,0.47318111427473636,0.0010256025183747717,0.592945721220733,1.0,0.5,0.0010646883547398283,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
