ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.29666785133199935,0.29666785133199935,0.457450517536261,0.026414033151622007,0.2966678513319993,0.9062986465569309,0.457450517536261,0.0009908574729629786,0.5696173686520033,1.0,0.5,0.0009410209495808173,inf
Bit,Transmission (Gears or Belts),1,1,0.19317499975125307,0.19317499975125307,0.44047134774684993,0.02481451498409281,0.19317499975125307,0.890112879292234,0.44047134774684993,0.0009448545071488482,0.5434324191482823,1.0,0.5,0.0009766150755415488,inf
Bit,Handle,1,1,0.4028688613713989,0.4028688613713989,0.4778234792123182,0.028806167385158385,0.4028688613713988,0.9025884859601588,0.4778234792123182,0.0010378426921713738,0.6012067486492143,1.0,0.5,0.001072346328583035,inf
Bit,Trigger Mechanism,1,1,0.2529254587368508,0.2529254587368508,0.44997333486959457,0.02565585698159511,0.25292545873685074,0.8740940819953659,0.44997333486959457,0.0009581605378384884,0.5560837243827464,1.0,0.5,0.0011386483202156699,inf
Bit,Power Source (Battery or Cord),1,1,0.2161806884483468,0.2161806884483468,0.44403913020733315,0.02479542454696599,0.21618068844834679,0.8978564959756544,0.44403913020733315,0.0009487078578218468,0.5469425766521019,1.0,0.5,0.0006724768435570162,inf
Bit,Bit Holder/Chuck,1,1,0.39730412898421963,0.39730412898421963,0.47666638820416285,0.028501301406638188,0.3973041289842196,0.9076025643337348,0.47666638820416285,0.0010272750777690868,0.5991275237518727,1.0,0.5,0.0012498350707359496,inf
Bit,Control System (Speed and Direction),1,1,0.17083267595438123,0.17083267595438123,0.4371081348486301,0.024307473150666985,0.17083267595438123,0.9008619388492659,0.4371081348486301,0.000943383133412888,0.5373684215775122,1.0,0.5,0.0009477502394451169,inf
Transmission,Motor,1,1,0.4491766487902502,0.4491766487902502,0.4879016076166797,0.02982760060857244,0.44917664879025027,0.9034610153287895,0.4879016076166797,0.0010663229998054823,0.6157742352454321,1.0,0.5,0.0009172478265634011,inf
Transmission,Transmission (Gears or Belts),1,1,0.6500122812751273,0.6500122812751273,0.5444709341479413,0.037205893134800085,0.6500122812751273,0.931190655255482,0.5444709341479413,0.001209754787686753,0.6818948518140656,1.0,0.5,0.0007474618752449189,inf
Transmission,Handle,1,1,0.407191615601302,0.407191615601302,0.4787299587158495,0.02886112633822645,0.407191615601302,0.8869752198309341,0.4787299587158495,0.0010338052437317362,0.6031692685383012,1.0,0.5,0.0007991625074801335,inf
Transmission,Trigger Mechanism,1,1,0.4517792579540194,0.4517792579540194,0.48849329429511734,0.03007574152835612,0.45177925795401946,0.9091805436018484,0.48849329429511734,0.001079016798920629,0.615938302017004,1.0,0.5,0.0006600721548733654,inf
Transmission,Power Source (Battery or Cord),1,1,0.2287005983296737,0.2287005983296737,0.44602754214099444,0.025180676579921832,0.22870059832967377,0.8900516270181422,0.44602754214099444,0.0009569561422786169,0.5529201054231667,1.0,0.5,0.0009383797118995099,inf
Transmission,Bit Holder/Chuck,1,1,0.22946998125690488,0.22946998125690488,0.4461508498051579,0.025057675978306774,0.2294699812569049,0.894187198728915,0.4461508498051579,0.000963741379384938,0.5515990182116878,1.0,0.5,0.0006410577508838927,inf
Transmission,Control System (Speed and Direction),1,1,0.3567595950850264,0.3567595950850264,0.46855276422189607,0.027693469334782627,0.35675959508502647,0.8946991739581045,0.46855276422189607,0.0010365935471493722,0.5902570332898919,1.0,0.5,0.0007664881352316868,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Transmission (Gears or Belts),1,1,0.3786860403713961,0.3786860403713961,0.47287311192271575,0.02827425677554515,0.37868604037139614,0.8852541452379118,0.47287311192271575,0.0010282823642119919,0.5956243495724167,1.0,0.5,0.0008044040974931232,inf
Motor,Handle,1,1,0.42447646485028134,0.42447646485028134,0.4824232448109933,0.02952550146853729,0.42447646485028134,0.8991419453434769,0.4824232448109933,0.0010616993709509524,0.6121924873534781,1.0,0.5,0.0008276082676517895,inf
Motor,Trigger Mechanism,1,1,0.375249769478905,0.375249769478905,0.4721857644359573,0.027953811587194403,0.37524976947890487,0.9035349021743664,0.4721857644359573,0.0010210659838982188,0.5933710267571323,1.0,0.5,0.0008925309284493939,inf
