ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.29665179274145004,0.29665179274145004,0.4574476730645476,0.02641314115852482,0.2966517927414501,0.9062933774937467,0.4574476730645476,0.000990864209295611,0.5696041502605798,1.0,0.5,0.0009426862688088157,inf
Bit,Battery,1,1,0.42536668956077484,0.42536668956077484,0.4826165011327326,0.02906322192608035,0.425366689560775,0.9178793777071856,0.4826165011327326,0.0010393813384476317,0.6057172054218751,1.0,0.5,0.0009226200171587404,inf
Bit,Gearbox,1,1,0.24034654973328706,0.24034654973328706,0.447907919485133,0.025300678708713352,0.24034654973328706,0.8976077969424314,0.447907919485133,0.0009539975088795617,0.5531750158764874,1.0,0.5,0.0009004624639175053,inf
Bit,Chuck,1,1,0.3206366067241391,0.3206366067241391,0.46175632819902845,0.026998066210847056,0.320636606724139,0.9048150874881239,0.46175632819902845,0.0009902497610715468,0.5763265059114636,1.0,0.5,0.001228425359393271,inf
Bit,Handle,1,1,0.40279283666813703,0.40279283666813703,0.47780758232355347,0.028806424817581788,0.4027928366681369,0.9025145110645062,0.47780758232355347,0.0010379415146099609,0.6012085794411106,1.0,0.5,0.0010732920963671233,inf
Bit,Switch,1,1,0.40166201219858033,0.40166201219858033,0.47757159324484083,0.02879341415096533,0.4016620121985804,0.9090679409474587,0.47757159324484083,0.0010365713874140106,0.6022093956598621,1.0,0.5,0.0007407412884520662,inf
Bit,Circuit,1,1,0.2785061235098045,0.2785061235098045,0.45428851331901676,0.026100386935831322,0.2785061235098046,0.9068790896060897,0.45428851331901676,0.0009819207722070315,0.565955525229197,1.0,0.5,0.0009082482810877437,inf
Transmission,Motor,1,1,0.4492477636356229,0.4492477636356229,0.4879177256418739,0.029828775832147672,0.44924776363562297,0.903447096566487,0.4879177256418739,0.0010663588382641624,0.61578740983167,1.0,0.5,0.000916614252108871,inf
Transmission,Battery,1,1,0.38632182017868444,0.38632182017868444,0.47441454310697445,0.02830881414015847,0.38632182017868444,0.9088873105500282,0.47441454310697445,0.0010320652499974236,0.5970491524053064,1.0,0.5,0.0010013551687696818,inf
Transmission,Gearbox,1,1,0.5240758519021452,0.5240758519021452,0.5061683777837648,0.031848495218037454,0.5240758519021451,0.9170401566222397,0.5061683777837648,0.0011254771129989242,0.6382721726187611,1.0,0.5,0.0011958848839629021,inf
Transmission,Chuck,1,1,0.309961394361461,0.309961394361461,0.45981939726799126,0.026710941300610375,0.30996139436146086,0.8554741332313255,0.45981939726799126,0.0009893145610450121,0.5734129798759978,1.0,0.5,0.0005356845934067303,inf
Transmission,Handle,1,1,0.40721506017930964,0.40721506017930964,0.4787348780965989,0.02885936492092812,0.40721506017930953,0.8870146127177146,0.4787348780965989,0.0010337199439345243,0.603161354513054,1.0,0.5,0.0008004392390435675,inf
Transmission,Switch,1,1,0.5345196003180624,0.5345196003180624,0.508941305570245,0.0324017926112044,0.5345196003180624,0.9181390262847672,0.508941305570245,0.0011059279141496226,0.6397206216021583,1.0,0.5,0.0006943504882448439,inf
Transmission,Circuit,1,1,0.29579671762029236,0.29579671762029236,0.4572969060072669,0.026909812075565545,0.2957967176202923,0.865922074410217,0.4572969060072669,0.0010158270873855697,0.578222513389686,1.0,0.5,0.0008540255133224754,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Battery,1,1,0.5388354692288563,0.5388354692288563,0.510105269881647,0.03276834341358263,0.5388354692288563,0.9195218988888471,0.510105269881647,0.0011347791295412849,0.64698238084781,1.0,0.5,0.0005604099008616655,inf
Motor,Gearbox,1,1,0.4758080863926626,0.4758080863926626,0.4940940413039458,0.030795870945480502,0.47580808639266264,0.9098862724774316,0.4940940413039458,0.0010976625142837307,0.6277370458438859,1.0,0.5,0.0008921405679028398,inf
Motor,Chuck,1,1,0.2648739238896263,0.2648739238896263,0.45196931755795217,0.0262357854868453,0.2648739238896262,0.8687885644374672,0.45196931755795217,0.0009939756327277617,0.5656869586359718,1.0,0.5,0.0011175020644632982,inf
Motor,Handle,1,1,0.42459607856610515,0.42459607856610515,0.48244917928783865,0.02952859775745085,0.4245960785661052,0.8991653411033288,0.48244917928783865,0.0010618204188672787,0.61223585084028,1.0,0.5,0.0008275937852255683,inf
Motor,Switch,1,1,0.4258495209753841,0.4258495209753841,0.482721448280493,0.029823427652488032,0.42584952097538425,0.9046916246879816,0.482721448280493,0.0010693874872516364,0.6142884615428215,1.0,0.5,0.0008137759002222477,inf
Motor,Circuit,1,1,0.3673877977064919,0.3673877977064919,0.470627659526147,0.027792031581937514,0.36738779770649194,0.895433320174248,0.470627659526147,0.001032001768461562,0.5929234919392513,1.0,0.5,0.0007273753337253543,inf
Electrical System,Motor,1,1,0.3528842433066369,0.3528842433066369,0.46780496839913177,0.02753732303568685,0.3528842433066369,0.890042395932964,0.46780496839913177,0.0010191003077914984,0.5889730983517123,1.0,0.5,0.0007675031588189413,inf
Electrical System,Battery,1,1,0.4360059597016923,0.4360059597016923,0.4849501031364922,0.029664461830321287,0.4360059597016923,0.8996175206876154,0.4849501031364922,0.0010655431232928251,0.6132536714659845,1.0,0.5,0.0008821760847692585,inf
Electrical System,Gearbox,1,1,0.2945887003771742,0.2945887003771742,0.4570842361771113,0.026321563055512948,0.2945887003771742,0.8958538249375813,0.4570842361771113,0.0009908857307761195,0.5727695358154357,1.0,0.5,0.0011532208550271135,inf
Electrical System,Chuck,1,1,0.15972374853731686,0.15972374853731686,0.4354715572652547,0.0245920676232076,0.15972374853731683,0.8674517718509708,0.4354715572652547,0.0009426335598247213,0.5342644519893751,1.0,0.5,0.0006315272283110569,inf
Electrical System,Handle,1,1,0.20674995638590055,0.20674995638590055,0.4425633599835904,0.024944507282740485,0.20674995638590055,0.8766148482859806,0.4425633599835904,0.0009581660572140948,0.5481366882298507,1.0,0.5,0.0007891567551456078,inf
Electrical System,Switch,1,1,0.32094389016544755,0.32094389016544755,0.4618125572592996,0.027151078542936108,0.32094389016544755,0.8941849029533131,0.4618125572592996,0.0010041284883517982,0.5800111495521726,1.0,0.5,0.0007284204502937538,inf
Electrical System,Circuit,1,1,0.5287001398495816,0.5287001398495816,0.5073886571567299,0.03259462289926515,0.5287001398495816,0.8993958941915927,0.5073886571567299,0.0011275871188592456,0.6454020470220229,1.0,0.5,0.0008212986089463453,inf
Battery Holder,Motor,1,1,0.31980310821241187,0.31980310821241187,0.4616039563099721,0.027040128584888308,0.31980310821241187,0.8966146061415977,0.4616039563099721,0.0010105265104253692,0.580260799225912,1.0,0.5,0.000922321971722854,inf
Battery Holder,Battery,1,1,0.6478659705093396,0.6478659705093396,0.5437126411523219,0.03703310816509275,0.6478659705093396,0.9204374685939843,0.5437126411523219,0.00122029647596305,0.6840729486446039,1.0,0.5,0.0007943075568443967,inf
Battery Holder,Gearbox,1,1,0.3195974275329112,0.3195974275329112,0.46156638507327197,0.026621604848902043,0.3195974275329112,0.9133569267338308,0.46156638507327197,0.0009943880446548069,0.5762354660607648,1.0,0.5,0.0005695538803204652,inf
Battery Holder,Chuck,1,1,0.1343189439213478,0.1343189439213478,0.4318139133934664,0.02388103324250401,0.1343189439213478,0.8741856433644426,0.4318139133934664,0.0009302926072041,0.5280123944355286,1.0,0.5,0.001176935388748746,inf
Battery Holder,Handle,1,1,0.38054359542188454,0.38054359542188454,0.47324628459521306,0.028276777482440098,0.3805435954218845,0.8984368463796025,0.47324628459521306,0.0010511056307572356,0.5986461948803379,1.0,0.5,0.0010480303261388717,inf
Battery Holder,Switch,1,1,0.28340048817957353,0.28340048817957353,0.4551323812180196,0.026513746800893464,0.28340048817957353,0.8990017461346542,0.4551323812180196,0.0009995686940338512,0.5733541052697673,1.0,0.5,0.0008287137985938384,inf
Battery Holder,Circuit,1,1,0.32048872777193105,0.32048872777193105,0.4617292756932238,0.027087586591462397,0.3204887277719311,0.9079520926141964,0.4617292756932238,0.0010173360443030519,0.5821903236878264,1.0,0.5,0.0006766602450862047,inf
Housing,Motor,1,1,0.20856268900083763,0.20856268900083763,0.44284557900145405,0.025249698001194754,0.20856268900083771,0.8903724966776229,0.44284557900145405,0.0009758046947600622,0.5542882364828197,1.0,0.5,0.0011436617682326988,inf
Housing,Battery,1,1,0.22230185876871067,0.22230185876871067,0.4450070753930543,0.025195716123772957,0.22230185876871078,0.9008485338799335,0.4450070753930543,0.0009621328617721699,0.554192021045851,1.0,0.5,0.0011664262232714924,inf
Housing,Gearbox,1,1,0.24732978180829446,0.24732978180829446,0.4490500625226061,0.025828512494832978,0.2473297818082945,0.8961882512745935,0.4490500625226061,0.0009875556540757092,0.5634522248521635,1.0,0.5,0.0013440473404455013,inf
Housing,Chuck,1,1,0.16875551308802594,0.16875551308802594,0.4368003567406289,0.02472700250579235,0.16875551308802594,0.8677653253881528,0.4368003567406289,0.0009553511333898179,0.5389730473500274,1.0,0.5,0.0008410638776152157,inf
Housing,Handle,1,1,0.34554182056811933,0.34554182056811933,0.4664007547536086,0.027993924086434883,0.3455418205681195,0.8769350622971571,0.4664007547536086,0.001040108670106039,0.592290861076809,1.0,0.5,0.0009520137685822658,inf
