ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Gearbox,1,1,0.24033421337457583,0.24033421337457583,0.4479059271541708,0.02530025138932078,0.2403342133745759,0.8976593320620669,0.4479059271541708,0.0009540953705930834,0.5531769594634944,1.0,0.5,0.0008995489859321036,inf
Bit,Chuck,1,1,0.3205210416702007,0.3205210416702007,0.46173520001612034,0.02699764458223709,0.3205210416702007,0.9048071975711981,0.46173520001612034,0.0009903817295542486,0.5763240759663413,1.0,0.5,0.0012287509625771675,inf
Bit,Clutch,1,1,0.2932349802987564,0.2932349802987564,0.4568463638004791,0.026398489585920486,0.29323498029875644,0.8902724421735311,0.4568463638004791,0.0009827033327112014,0.5696122341547261,1.0,0.5,0.0015581886035448032,inf
Bit,Trigger Switch,1,1,0.26265857860873276,0.26265857860873276,0.45159670351633424,0.025861167120458786,0.2626585786087327,0.9061552960289397,0.45159670351633424,0.0009646141461988983,0.5592601431878839,1.0,0.5,0.0009125127640377709,inf
Bit,Battery,1,1,0.42537112465897153,0.42537112465897153,0.48261747340404093,0.0290631190737106,0.4253711246589716,0.917898714823276,0.48261747340404093,0.0010394011881068722,0.6057223197654777,1.0,0.5,0.000923372945344169,inf
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Gearbox,1,1,0.5240294552071966,0.5240294552071966,0.5061562039318144,0.03184520698984142,0.5240294552071967,0.9170674424253394,0.5061562039318144,0.0011252946662571393,0.6382438080734584,1.0,0.5,0.001194187960037378,inf
Transmission,Chuck,1,1,0.3099397931955332,0.3099397931955332,0.4598155125661336,0.02671070269614806,0.30993979319553316,0.8555736052172824,0.4598155125661336,0.0009893774985490257,0.5734053978197773,1.0,0.5,0.0005326879391124674,inf
Transmission,Clutch,1,1,0.3954864707930281,0.3954864707930281,0.47629079698883614,0.028849125597588107,0.3954864707930281,0.8854758311623926,0.47629079698883614,0.0010601502576154083,0.6035580726626216,1.0,0.5,0.0008619138408532128,inf
Transmission,Trigger Switch,1,1,0.37312891639936274,0.37312891639936274,0.4717634804421862,0.028250360578502876,0.3731289163993628,0.8904282564868672,0.4717634804421862,0.0010343884561965777,0.5929953222769048,1.0,0.5,0.0006035149595432132,inf
Transmission,Battery,1,1,0.38619110925138656,0.38619110925138656,0.47438799383839003,0.028304884566816846,0.38619110925138667,0.9088904583292898,0.47438799383839003,0.0010320887083428774,0.5970080458576817,1.0,0.5,0.0009994165286653814,inf
Transmission,Housing,1,1,0.2449396639551391,0.2449396639551391,0.4486579028622559,0.025847842946450886,0.24493966395513916,0.8775724055913044,0.4486579028622559,0.0009802904625872578,0.5625344873177133,1.0,0.5,0.0007887121330671931,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Gearbox,1,1,0.47567355956621316,0.47567355956621316,0.4940619855502062,0.030794420043423955,0.4756735595662132,0.9100007157617989,0.4940619855502062,0.0011002151091001292,0.6276061408365,1.0,0.5,0.0009002879290136432,inf
Motor,Chuck,1,1,0.2631378005027113,0.2631378005027113,0.45167720314612797,0.02620470034466682,0.2631378005027113,0.8702972573392125,0.45167720314612797,0.0009946571300255382,0.5651532920746511,1.0,0.5,0.0011254350539737046,inf
Motor,Clutch,1,1,0.33969473624369306,0.33969473624369306,0.46529413068314046,0.027225121408770758,0.33969473624369306,0.9086242301323769,0.46529413068314046,0.0010256498604206713,0.5863233854350249,1.0,0.5,0.0010022394606995864,inf
Motor,Trigger Switch,1,1,0.31478395202841436,0.31478395202841436,0.4606905408647941,0.027079152621910622,0.31478395202841447,0.8879465872364204,0.4606905408647941,0.001012360675957339,0.5813435662948496,1.0,0.5,0.0008900447563759955,inf
Motor,Battery,1,1,0.538682317965391,0.538682317965391,0.510063789717564,0.0327499668258233,0.5386823179653911,0.920576415696383,0.510063789717564,0.001137484757430906,0.6469166030718893,1.0,0.5,0.0005524719786104508,inf
Motor,Housing,1,1,0.20944736264100472,0.20944736264100472,0.44298356622927043,0.025259487324022608,0.20944736264100478,0.8901465164384914,0.44298356622927043,0.0009763328739749353,0.5543779083268024,1.0,0.5,0.0011473496610564145,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
