ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,motor,1,1,0.270423703412249,0.270423703412249,0.45290800612153775,0.025918510472265316,0.2704237034122489,0.890919137377868,0.45290800612153775,0.0009735498968164498,0.5628474772656348,1.0,0.5,0.0010595195887823639,inf
Bit,gear system,1,1,0.18116067834937277,0.18116067834937277,0.43865070789982,0.02475621998121921,0.18116067834937274,0.8868836277873273,0.43865070789982,0.0009399276413213706,0.5403477109297414,1.0,0.5,0.0008827153523848573,inf
Bit,chuck,1,1,0.32208228717907983,0.32208228717907983,0.4620210733830334,0.02683565171789607,0.3220822871790799,0.9033210004182911,0.4620210733830334,0.0009882135220193162,0.5775803284452096,1.0,0.5,0.0012402992410981044,inf
Bit,battery,1,1,0.4076842417088058,0.4076842417088058,0.47883368685310684,0.028819735116547767,0.40768424170880574,0.9141826730210499,0.47883368685310684,0.0010349488236422435,0.6017132701298555,1.0,0.5,0.0008533585691902603,inf
Bit,switch,1,1,0.3915441346654337,0.3915441346654337,0.47548014824601503,0.028459853482822855,0.3915441346654337,0.8943725088506111,0.47548014824601503,0.001023996037975953,0.5993208855156845,1.0,0.5,0.000981543622125731,inf
Bit,housing,1,1,0.186082323673868,0.186082323673868,0.4393930823584362,0.024995849628591825,0.1860823236738679,0.8937961419996943,0.4393930823584362,0.0009565037432397722,0.5454836282743748,1.0,0.5,0.0008427351019705638,inf
Bit,LED light,1,1,0.1903333323819152,0.1903333323819152,0.44003814489313314,0.024723991142097054,0.19033333238191516,0.8887476556831061,0.44003814489313314,0.0009608331349778035,0.5438379142886105,1.0,0.5,0.0011394942260712529,inf
Transmission,motor,1,1,0.4341104266514604,0.4341104266514604,0.4845310727733285,0.029452056875271804,0.4341104266514604,0.8911567344487313,0.4845310727733285,0.001062686225644492,0.6136151683927576,1.0,0.5,0.0010773589753038468,inf
Transmission,gear system,1,1,0.4233248041275324,0.4233248041275324,0.4821736669021658,0.029171926483494405,0.4233248041275324,0.914118064953993,0.4821736669021658,0.0010588063937154127,0.6087065495164408,1.0,0.5,0.0008236074555571335,inf
Transmission,chuck,1,1,0.2710904464263315,0.2710904464263315,0.4530212858183147,0.026058938171630852,0.2710904464263315,0.9046975131595775,0.4530212858183147,0.000989554988018409,0.5655526917122207,1.0,0.5,0.0007774942144417687,inf
