ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Gearbox,1,1,0.24033421337457583,0.24033421337457583,0.4479059271541708,0.02530025138932078,0.2403342133745759,0.8976593320620669,0.4479059271541708,0.0009540953705930834,0.5531769594634944,1.0,0.5,0.0008995489859321036,inf
Bit,Carbon Brushes,1,1,0.22833476811651965,0.22833476811651965,0.4459689551450378,0.025351441708473352,0.22833476811651957,0.9098569768679454,0.4459689551450378,0.0009658485582392385,0.5532303287294691,1.0,0.5,0.0010196575291212537,inf
Bit,Battery,1,1,0.42537112465897153,0.42537112465897153,0.48261747340404093,0.0290631190737106,0.4253711246589716,0.917898714823276,0.48261747340404093,0.0010394011881068722,0.6057223197654777,1.0,0.5,0.000923372945344169,inf
Bit,Trigger Switch,1,1,0.26265857860873276,0.26265857860873276,0.45159670351633424,0.025861167120458786,0.2626585786087327,0.9061552960289397,0.45159670351633424,0.0009646141461988983,0.5592601431878839,1.0,0.5,0.0009125127640377709,inf
Bit,Bit Holder/Chuck,1,1,0.39728131625026264,0.39728131625026264,0.476661663095228,0.02850171077297251,0.3972813162502626,0.9076718972398743,0.476661663095228,0.0010273773258408793,0.599131821596336,1.0,0.5,0.0012509653263892417,inf
Transmission,Housing,1,1,0.2449396639551391,0.2449396639551391,0.4486579028622559,0.025847842946450886,0.24493966395513916,0.8775724055913044,0.4486579028622559,0.0009802904625872578,0.5625344873177133,1.0,0.5,0.0007887121330671931,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Gearbox,1,1,0.5240294552071966,0.5240294552071966,0.5061562039318144,0.03184520698984142,0.5240294552071967,0.9170674424253394,0.5061562039318144,0.0011252946662571393,0.6382438080734584,1.0,0.5,0.001194187960037378,inf
Transmission,Carbon Brushes,1,1,0.18788808400675594,0.18788808400675594,0.43966664510625486,0.024714116726795656,0.18788808400675594,0.8814096875532,0.43966664510625486,0.0009529405486558644,0.5440419631057606,1.0,0.5,0.0010705254583713857,inf
Transmission,Battery,1,1,0.38619110925138656,0.38619110925138656,0.47438799383839003,0.028304884566816846,0.38619110925138667,0.9088904583292898,0.47438799383839003,0.0010320887083428774,0.5970080458576817,1.0,0.5,0.0009994165286653814,inf
Transmission,Trigger Switch,1,1,0.37312891639936274,0.37312891639936274,0.4717634804421862,0.028250360578502876,0.3731289163993628,0.8904282564868672,0.4717634804421862,0.0010343884561965777,0.5929953222769048,1.0,0.5,0.0006035149595432132,inf
Transmission,Bit Holder/Chuck,1,1,0.22951334827292336,0.22951334827292336,0.4461577929481694,0.02505828839765553,0.22951334827292327,0.8940975050726305,0.4461577929481694,0.0009637329939779196,0.5516194678533863,1.0,0.5,0.0006416022587941348,inf
Motor,Housing,1,1,0.20944736264100472,0.20944736264100472,0.44298356622927043,0.025259487324022608,0.20944736264100478,0.8901465164384914,0.44298356622927043,0.0009763328739749353,0.5543779083268024,1.0,0.5,0.0011473496610564145,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Gearbox,1,1,0.47567355956621316,0.47567355956621316,0.4940619855502062,0.030794420043423955,0.4756735595662132,0.9100007157617989,0.4940619855502062,0.0011002151091001292,0.6276061408365,1.0,0.5,0.0009002879290136432,inf
Motor,Carbon Brushes,1,1,0.37921918844344915,0.37921918844344915,0.47298009699181914,0.028510660814647794,0.37921918844344915,0.9042429010151499,0.47298009699181914,0.0010551826198729093,0.6019222033050445,1.0,0.5,0.0008741878644243553,inf
Motor,Battery,1,1,0.538682317965391,0.538682317965391,0.510063789717564,0.0327499668258233,0.5386823179653911,0.920576415696383,0.510063789717564,0.001137484757430906,0.6469166030718893,1.0,0.5,0.0005524719786104508,inf
Motor,Trigger Switch,1,1,0.31478395202841436,0.31478395202841436,0.4606905408647941,0.027079152621910622,0.31478395202841447,0.8879465872364204,0.4606905408647941,0.001012360675957339,0.5813435662948496,1.0,0.5,0.0008900447563759955,inf
Motor,Bit Holder/Chuck,1,1,0.23842264363467736,0.23842264363467736,0.4475952062786677,0.025325402025708047,0.23842264363467738,0.9000389054471231,0.4475952062786677,0.0009708966043384929,0.555472224476688,1.0,0.5,0.0009167347350732183,inf
Electrical System,Housing,1,1,0.24968685545821268,0.24968685545821268,0.44943809659278666,0.02611126847242085,0.24968685545821265,0.8899474756004009,0.44943809659278666,0.0009912560517595186,0.564527397544604,1.0,0.5,0.0007572293784985367,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
Electrical System,Gearbox,1,1,0.29447511367278123,0.29447511367278123,0.4570642637570322,0.02631966669480426,0.2944751136727812,0.895729677954937,0.4570642637570322,0.0009907592632699116,0.5727401796451261,1.0,0.5,0.0011547610725154778,inf
Electrical System,Carbon Brushes,1,1,0.31212023861791105,0.31212023861791105,0.4602085754416854,0.02690125854776137,0.31212023861791105,0.9016676764357864,0.4602085754416854,0.00100527606401318,0.5783164201337082,1.0,0.5,0.0011589670763886648,inf
Electrical System,Battery,1,1,0.4360503893481955,0.4360503893481955,0.48495994007046117,0.02966671270201191,0.43605038934819557,0.8997029867410447,0.48495994007046117,0.0010657491237055462,0.6132839009009922,1.0,0.5,0.0008829805791729455,inf
Electrical System,Trigger Switch,1,1,0.28267924901372354,0.28267924901372354,0.45500766804021003,0.026331302698341098,0.2826792490137236,0.8957781279527325,0.45500766804021003,0.0009876672684280934,0.5694982516203292,1.0,0.5,0.0005425867515082365,inf
Electrical System,Bit Holder/Chuck,1,1,0.16405671475690586,0.16405671475690586,0.43610713533852563,0.02438742556062778,0.16405671475690586,0.8927317933914812,0.43610713533852563,0.0009420273814721124,0.5376596643838736,1.0,0.5,0.0006766771796072501,inf
Battery Holder,Housing,1,1,0.20698714339186863,0.20698714339186863,0.44260024428900807,0.025167126255193108,0.20698714339186863,0.8878968661291192,0.44260024428900807,0.0009749713526329664,0.5518673795855289,1.0,0.5,0.001167429503846407,inf
Battery Holder,Motor,1,1,0.3194239489123243,0.3194239489123243,0.4615347197339704,0.027029958462954088,0.31942394891232434,0.896528348448915,0.4615347197339704,0.0010113614368002061,0.5801401977741425,1.0,0.5,0.0009221879901595287,inf
Battery Holder,Gearbox,1,1,0.3195267196144508,0.3195267196144508,0.46155347986781536,0.02662132917674098,0.3195267196144509,0.9134420611960088,0.46155347986781536,0.0009944565157305315,0.5762279424914343,1.0,0.5,0.000571237018295534,inf
Battery Holder,Carbon Brushes,1,1,0.4526518360102769,0.4526518360102769,0.4886922897904491,0.02986019585513823,0.4526518360102768,0.9117260545468535,0.4886922897904491,0.0010718784980322772,0.6174575780155486,1.0,0.5,0.0006348053927895956,inf
Battery Holder,Battery,1,1,0.6478353245273976,0.6478353245273976,0.5437018465160378,0.037032068801605526,0.6478353245273978,0.9204495612927825,0.5437018465160378,0.0012202562914978576,0.6840615027870692,1.0,0.5,0.0007939972201415426,inf
Battery Holder,Trigger Switch,1,1,0.2515243596443254,0.2515243596443254,0.4497414817289884,0.025984549040189434,0.2515243596443254,0.889315456557649,0.4497414817289884,0.000983199173305327,0.5632785121511295,1.0,0.5,0.0009485359632962858,inf
