ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Battery Pack,1,1,0.2761945181882992,0.2761945181882992,0.45389204237350517,0.026000314626072822,0.27619451818829915,0.8949109850706058,0.45389204237350517,0.0009783010608281602,0.5648216086261132,1.0,0.5,0.0008236882703706416,inf
Bit,Gear System,1,1,0.21043425795011417,0.21043425795011417,0.4431376869361755,0.02493829263054482,0.21043425795011417,0.898268566395184,0.4431376869361755,0.0009481128307156656,0.546307396849188,1.0,0.5,0.001087236284840049,inf
Bit,Chuck/Bit Holder,1,1,0.4839952209690338,0.4839952209690338,0.49606159108836906,0.031014157643192077,0.4839952209690338,0.9135585298447648,0.49606159108836906,0.0010928028439942028,0.6277155886004844,1.0,0.5,0.0013343108938249997,inf
Bit,Trigger Switch,1,1,0.26265857860873276,0.26265857860873276,0.45159670351633424,0.025861167120458786,0.2626585786087327,0.9061552960289397,0.45159670351633424,0.0009646141461988983,0.5592601431878839,1.0,0.5,0.0009125127640377709,inf
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Bit,Control Circuitry,1,1,0.2196274212284205,0.2196274212284205,0.44458318432221294,0.025232943365891828,0.2196274212284205,0.9008281898651311,0.44458318432221294,0.0009540991483287352,0.5492091386243687,1.0,0.5,0.0008698740733041875,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Battery Pack,1,1,0.22136326902044368,0.22136326902044368,0.4448581292309038,0.025117734536686868,0.22136326902044373,0.9005859960385355,0.4448581292309038,0.0009718958221987738,0.5519675352116141,1.0,0.5,0.00119612558676696,inf
Transmission,Gear System,1,1,0.4638972830436576,0.4638972830436576,0.49128617111179423,0.030251591213539535,0.4638972830436576,0.907799494689717,0.49128617111179423,0.0010814343721337928,0.6200535573956087,1.0,0.5,0.0007436864796422543,inf
