ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2967389793920423,0.2967389793920423,0.45746307578564827,0.02641533415007119,0.2967389793920422,0.9062407391830248,0.45746307578564827,0.0009911383079551173,0.5696290398404279,1.0,0.5,0.0009399974564169668,inf
Bit,Housing,1,1,0.20277583069048954,0.20277583069048954,0.44194703087740617,0.025282907824127454,0.20277583069048957,0.8844312821140988,0.44194703087740617,0.0009705824329330081,0.5516158936488216,1.0,0.5,0.0012632001851773005,inf
Bit,Ring Gear,1,1,0.19655834350677548,0.19655834350677548,0.4409892470995103,0.024673722760967555,0.1965583435067755,0.8776899056517079,0.4409892470995103,0.0009385836155931119,0.5401270882734879,1.0,0.5,0.0009355163951365587,inf
Bit,Clip,1,1,0.3426861010678226,0.3426861010678226,0.4658590194622935,0.02720611124327427,0.34268610106782255,0.8849430448050285,0.4658590194622935,0.000997786620615013,0.5810001073203026,1.0,0.5,0.0009896617403164498,inf
Bit,Battery,1,1,0.4253405030560199,0.4253405030560199,0.48261082601246424,0.02906283548470656,0.42534050305601984,0.9178347039555579,0.48261082601246424,0.0010395465270048706,0.6057268729369599,1.0,0.5,0.000923506270138337,inf
Bit,Switch,1,1,0.4016172372311799,0.4016172372311799,0.477562261704909,0.028793758373085402,0.4016172372311799,0.9090442086647217,0.477562261704909,0.0010365726911527218,0.6022130273851949,1.0,0.5,0.0007391079997252266,inf
Bit,Screwdriver Bit,1,1,0.4327636807251376,0.4327636807251376,0.4842342491972916,0.02948819197646216,0.43276368072513766,0.910041107032962,0.4842342491972916,0.0010480535600469326,0.6087933011144407,1.0,0.5,0.0009572576928107408,inf
Transmission,Motor,1,1,0.44919576889362545,0.44919576889362545,0.48790593802506327,0.029828719843987175,0.4491957688936255,0.9034359801088394,0.48790593802506327,0.0010663692947499336,0.6157762800092645,1.0,0.5,0.0009171590759271167,inf
Transmission,Housing,1,1,0.2448591514796945,0.2448591514796945,0.4486447202203947,0.025847683371732124,0.24485915147969456,0.8775410316547524,0.4486447202203947,0.0009801656661042,0.5625270556985167,1.0,0.5,0.0007884591073574753,inf
Transmission,Ring Gear,1,1,0.39105071317662154,0.39105071317662154,0.47537906044861683,0.028388963927138255,0.39105071317662166,0.8980947209932634,0.47537906044861683,0.0010276675291488783,0.5985264655321076,1.0,0.5,0.0006690742816557824,inf
Transmission,Clip,1,1,0.2727615733837858,0.2727615733837858,0.4533056730471198,0.02611810206689921,0.27276157338378587,0.8811535113145403,0.4533056730471198,0.0009840876994505646,0.5646079750256049,1.0,0.5,0.0008363133368876441,inf
Transmission,Battery,1,1,0.38628431441904465,0.38628431441904465,0.47440692465338014,0.0283066457811565,0.38628431441904465,0.9088812266234577,0.47440692465338014,0.0010320405568001224,0.5970277866832404,1.0,0.5,0.0010014953187514868,inf
Transmission,Switch,1,1,0.53452622274508,0.53452622274508,0.508943073336282,0.032402394327056896,0.53452622274508,0.9180960354388332,0.508943073336282,0.0011059093661868937,0.6397225868934869,1.0,0.5,0.0006944232204574855,inf
Transmission,Screwdriver Bit,1,1,0.21161343040709824,0.21161343040709824,0.4433220932164729,0.025639298901623208,0.2116134304070983,0.8747171336727461,0.4433220932164729,0.0009829359401324201,0.5552828358252504,1.0,0.5,0.0006865984480303911,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Housing,1,1,0.20860261413564374,0.20860261413564374,0.4428518188269247,0.02525069051892559,0.20860261413564374,0.8903858368116042,0.4428518188269247,0.0009758144105167953,0.5543046094450339,1.0,0.5,0.0011443909046655965,inf
Motor,Ring Gear,1,1,0.3663151761604073,0.3663151761604073,0.4704166446736973,0.027556344315425422,0.36631517616040726,0.9061287210785224,0.4704166446736973,0.0010098891832985338,0.5896110303190635,1.0,0.5,0.0007732736782455336,inf
Motor,Clip,1,1,0.23554891444693649,0.23554891444693649,0.44712964511057784,0.025320302788895067,0.23554891444693649,0.8979286091453844,0.44712964511057784,0.0009695211842354695,0.5560557390692634,1.0,0.5,0.0008225284950973419,inf
Motor,Battery,1,1,0.5388053292781213,0.5388053292781213,0.5100971161834774,0.03276777396045942,0.5388053292781213,0.919544937171998,0.5100971161834774,0.0011349963291155723,0.6469808126979038,1.0,0.5,0.0005604884769104443,inf
Motor,Switch,1,1,0.42591206833023687,0.42591206833023687,0.4827350514548306,0.029825372858595645,0.4259120683302368,0.9047886825778403,0.4827350514548306,0.0010694263696990856,0.6143032686856699,1.0,0.5,0.0008148390462840079,inf
Motor,Screwdriver Bit,1,1,0.2780482942580518,0.2780482942580518,0.4542098993088945,0.026121671147047103,0.2780482942580518,0.8948538465649035,0.4542098993088945,0.000987054086693888,0.5689451309257999,1.0,0.5,0.0009919441777426195,inf
Electrical System,Motor,1,1,0.3528666289333433,0.3528666289333433,0.4678015950161871,0.02753801267619301,0.3528666289333433,0.890031686579512,0.4678015950161871,0.0010191884702548148,0.5889768472043871,1.0,0.5,0.0007671826837388382,inf
Electrical System,Housing,1,1,0.24978463242659354,0.24978463242659354,0.44945423871068646,0.02611287897148979,0.2497846324265936,0.889949464210952,0.44945423871068646,0.0009912487297952183,0.5645496420995905,1.0,0.5,0.0007573722108054445,inf
Electrical System,Ring Gear,1,1,0.2406075000324298,0.2406075000324298,0.4479504223003178,0.0256648180408939,0.24060750003242984,0.8914186309425532,0.4479504223003178,0.0009712704847057791,0.5591472625163957,1.0,0.5,0.0005954349507026886,inf
