ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Bit,Ring Gear,1,1,0.19654113989429822,0.19654113989429822,0.44098660877308965,0.024674122616831353,0.19654113989429817,0.8776838505451868,0.44098660877308965,0.0009386368385725129,0.5401309005219364,1.0,0.5,0.0009351680232102892,inf
Bit,Clip,1,1,0.34256685071748794,0.34256685071748794,0.4658364525067506,0.02720250207688143,0.34256685071748794,0.8849330967023582,0.4658364525067506,0.000997728930152747,0.5809679704079627,1.0,0.5,0.0009889417304502026,inf
Bit,Battery,1,1,0.42537112465897153,0.42537112465897153,0.48261747340404093,0.0290631190737106,0.4253711246589716,0.917898714823276,0.48261747340404093,0.0010394011881068722,0.6057223197654777,1.0,0.5,0.000923372945344169,inf
Bit,Switch,1,1,0.40142150784619424,0.40142150784619424,0.4775214667059712,0.028789045869884324,0.40142150784619435,0.9090430019194089,0.4775214667059712,0.0010364213061643227,0.6021553174033709,1.0,0.5,0.000739470949035296,inf
Bit,Screwdriver Bit,1,1,0.4326382575301013,0.4326382575301013,0.48420664444002903,0.029484963147297726,0.4326382575301014,0.9099629164851261,0.48420664444002903,0.0010478432743828146,0.608765227161137,1.0,0.5,0.0009561772324187704,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Housing,1,1,0.2449396639551391,0.2449396639551391,0.4486579028622559,0.025847842946450886,0.24493966395513916,0.8775724055913044,0.4486579028622559,0.0009802904625872578,0.5625344873177133,1.0,0.5,0.0007887121330671931,inf
Transmission,Ring Gear,1,1,0.39111535153860155,0.39111535153860155,0.47539230563551366,0.02839115616416963,0.39111535153860155,0.8979926488294285,0.47539230563551366,0.001027801896013327,0.5985471999520635,1.0,0.5,0.0006693510896766947,inf
Transmission,Clip,1,1,0.2727289069890282,0.2727289069890282,0.45330011736807396,0.02611818858281856,0.2727289069890282,0.8813208905859612,0.45330011736807396,0.000984126371485121,0.5646131429397804,1.0,0.5,0.0008348770591564882,inf
Transmission,Battery,1,1,0.38619110925138656,0.38619110925138656,0.47438799383839003,0.028304884566816846,0.38619110925138667,0.9088904583292898,0.47438799383839003,0.0010320887083428774,0.5970080458576817,1.0,0.5,0.0009994165286653814,inf
Transmission,Switch,1,1,0.5346134923916906,0.5346134923916906,0.5089665140401342,0.032406253170244384,0.5346134923916906,0.9181035810372086,0.5089665140401342,0.0011061804658120476,0.6397606487225074,1.0,0.5,0.0006937175837261243,inf
Transmission,Screwdriver Bit,1,1,0.2115948268232022,0.2115948268232022,0.44331919246036977,0.025638666030554973,0.21159482682320216,0.8746987522705072,0.44331919246036977,0.0009828974812935904,0.5552685914820922,1.0,0.5,0.000686979813522725,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Housing,1,1,0.20944736264100472,0.20944736264100472,0.44298356622927043,0.025259487324022608,0.20944736264100478,0.8901465164384914,0.44298356622927043,0.0009763328739749353,0.5543779083268024,1.0,0.5,0.0011473496610564145,inf
Motor,Ring Gear,1,1,0.3671314470730166,0.3671314470730166,0.4705772066339635,0.02756728923993852,0.3671314470730166,0.9061149279845764,0.4705772066339635,0.0010101365621372161,0.5896945726612091,1.0,0.5,0.0007729954305434694,inf
Motor,Clip,1,1,0.23522899937462294,0.23522899937462294,0.4470779343974369,0.025319210043333644,0.23522899937462297,0.8976393524584134,0.4470779343974369,0.0009710066006293446,0.555964455062315,1.0,0.5,0.0008237187401315782,inf
Motor,Battery,1,1,0.538682317965391,0.538682317965391,0.510063789717564,0.0327499668258233,0.5386823179653911,0.920576415696383,0.510063789717564,0.001137484757430906,0.6469166030718893,1.0,0.5,0.0005524719786104508,inf
Motor,Switch,1,1,0.4260532683371152,0.4260532683371152,0.48276576755305317,0.029823756865007097,0.42605326833711515,0.9049178916214515,0.48276576755305317,0.001070378046928242,0.6142620454731207,1.0,0.5,0.0008124036076706542,inf
Motor,Screwdriver Bit,1,1,0.276946702530102,0.276946702530102,0.4540209233750216,0.02609894251336448,0.27694670253010206,0.8944151051102645,0.4540209233750216,0.0009868909440893406,0.568588700903617,1.0,0.5,0.0009977774594827802,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
