ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Housing,1,1,0.20275039035626763,0.20275039035626763,0.4419430837277485,0.025282741445666113,0.20275039035626766,0.8845200278936287,0.4419430837277485,0.0009705775033150208,0.5516113282232963,1.0,0.5,0.0012638155376105682,inf
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Gear,1,1,0.2848152711774019,0.2848152711774019,0.45537744723235885,0.026138414679559886,0.28481527117740185,0.9054536782055779,0.45537744723235885,0.0009670035018467044,0.5638935638099746,1.0,0.5,0.0009159264110563111,inf
Bit,Bit Holder,1,1,0.42887651448930786,0.42887651448930786,0.48338145494511103,0.02909135415110494,0.42887651448930786,0.9083374171535826,0.48338145494511103,0.001032378345346128,0.6044998634893624,1.0,0.5,0.0013188173273193833,inf
Bit,Trigger,1,1,0.31867260216325866,0.31867260216325866,0.4613976283601956,0.02720540268897764,0.3186726021632586,0.888143329358303,0.4613976283601956,0.0009976453099413958,0.5771081758356097,1.0,0.5,0.0017554537405134844,inf
Bit,Battery,1,1,0.42537112465897153,0.42537112465897153,0.48261747340404093,0.0290631190737106,0.4253711246589716,0.917898714823276,0.48261747340404093,0.0010394011881068722,0.6057223197654777,1.0,0.5,0.000923372945344169,inf
Bit,Chuck,1,1,0.3205210416702007,0.3205210416702007,0.46173520001612034,0.02699764458223709,0.3205210416702007,0.9048071975711981,0.46173520001612034,0.0009903817295542486,0.5763240759663413,1.0,0.5,0.0012287509625771675,inf
Transmission,Housing,1,1,0.2449396639551391,0.2449396639551391,0.4486579028622559,0.025847842946450886,0.24493966395513916,0.8775724055913044,0.4486579028622559,0.0009802904625872578,0.5625344873177133,1.0,0.5,0.0007887121330671931,inf
Transmission,Motor,1,1,0.4507938572464675,0.4507938572464675,0.4882689377436985,0.029856252265075163,0.4507938572464675,0.9036188876039005,0.4882689377436985,0.0010682792262980858,0.6161429859207648,1.0,0.5,0.0009194197411315958,inf
Transmission,Gear,1,1,0.4968634158491638,0.4968634158491638,0.4992183056609277,0.030909486472662506,0.4968634158491638,0.907053164246281,0.4992183056609277,0.0010757494340302536,0.6263113649016588,1.0,0.5,0.0007254269139271095,inf
Transmission,Bit Holder,1,1,0.21379724081182627,0.21379724081182627,0.44366438986295864,0.02527403671740388,0.21379724081182633,0.8954980190006853,0.44366438986295864,0.0009646535769915426,0.5505076576735635,1.0,0.5,0.0006309010543118865,inf
Transmission,Trigger,1,1,0.5106810495650055,0.5106810495650055,0.5026991777787099,0.03173773959903201,0.5106810495650055,0.9093522859324888,0.5026991777787099,0.0010951267147565422,0.6328801906825937,1.0,0.5,0.0009177854144060884,inf
Transmission,Battery,1,1,0.38619110925138656,0.38619110925138656,0.47438799383839003,0.028304884566816846,0.38619110925138667,0.9088904583292898,0.47438799383839003,0.0010320887083428774,0.5970080458576817,1.0,0.5,0.0009994165286653814,inf
Transmission,Chuck,1,1,0.3099397931955332,0.3099397931955332,0.4598155125661336,0.02671070269614806,0.30993979319553316,0.8555736052172824,0.4598155125661336,0.0009893774985490257,0.5734053978197773,1.0,0.5,0.0005326879391124674,inf
Motor,Housing,1,1,0.20944736264100472,0.20944736264100472,0.44298356622927043,0.025259487324022608,0.20944736264100478,0.8901465164384914,0.44298356622927043,0.0009763328739749353,0.5543779083268024,1.0,0.5,0.0011473496610564145,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Gear,1,1,0.5793796770166066,0.5793796770166066,0.5215962498352948,0.033809877367512474,0.5793796770166066,0.9183967464365255,0.5215962498352948,0.0011361954757619455,0.6550271640677394,1.0,0.5,0.0009335875316838957,inf
Motor,Bit Holder,1,1,0.1934668928017934,0.1934668928017934,0.4405159346819292,0.024874708488650695,0.1934668928017934,0.8679715962965634,0.4405159346819292,0.0009587162116884031,0.5468340272281309,1.0,0.5,0.0009963474815683302,inf
Motor,Trigger,1,1,0.37409561563998783,0.37409561563998783,0.4719557847968414,0.028189621541718043,0.37409561563998783,0.8955121106585606,0.4719557847968414,0.001020706966762122,0.5928263207835185,1.0,0.5,0.0015484633538171986,inf
Motor,Battery,1,1,0.538682317965391,0.538682317965391,0.510063789717564,0.0327499668258233,0.5386823179653911,0.920576415696383,0.510063789717564,0.001137484757430906,0.6469166030718893,1.0,0.5,0.0005524719786104508,inf
Motor,Chuck,1,1,0.2631378005027113,0.2631378005027113,0.45167720314612797,0.02620470034466682,0.2631378005027113,0.8702972573392125,0.45167720314612797,0.0009946571300255382,0.5651532920746511,1.0,0.5,0.0011254350539737046,inf
Electrical System,Housing,1,1,0.24968685545821268,0.24968685545821268,0.44943809659278666,0.02611126847242085,0.24968685545821265,0.8899474756004009,0.44943809659278666,0.0009912560517595186,0.564527397544604,1.0,0.5,0.0007572293784985367,inf
Electrical System,Motor,1,1,0.3535389588104134,0.3535389588104134,0.467930986531308,0.027551920240171817,0.3535389588104135,0.8897216107621148,0.467930986531308,0.0010202836259937146,0.5891556481204892,1.0,0.5,0.0007815403471222256,inf
Electrical System,Gear,1,1,0.2587126505336017,0.2587126505336017,0.4509358739928058,0.025834708707661545,0.25871265053360176,0.8781883953081294,0.4509358739928058,0.0009671621070103823,0.5618832542434207,1.0,0.5,0.0006448292769502343,inf
Electrical System,Bit Holder,1,1,0.12986060271024225,0.12986060271024225,0.4311838598022434,0.02384988486728102,0.1298606027102423,0.8759877676569086,0.4311838598022434,0.0009336772628897275,0.5279888058574663,1.0,0.5,0.0006407997238688043,inf
Electrical System,Trigger,1,1,0.15894333852575293,0.15894333852575293,0.4353574591524122,0.024732538092803222,0.15894333852575296,0.8338920800998525,0.4353574591524122,0.0009422591379542832,0.5400258752322441,1.0,0.5,0.0011410833366400173,inf
Electrical System,Battery,1,1,0.4360503893481955,0.4360503893481955,0.48495994007046117,0.02966671270201191,0.43605038934819557,0.8997029867410447,0.48495994007046117,0.0010657491237055462,0.6132839009009922,1.0,0.5,0.0008829805791729455,inf
Electrical System,Chuck,1,1,0.15971860005537641,0.15971860005537641,0.43547080292503565,0.024591310445691312,0.1597186000553764,0.8674307765500112,0.43547080292503565,0.0009427405919136796,0.534254974204958,1.0,0.5,0.0006310172226096085,inf
Battery Holder,Housing,1,1,0.20698714339186863,0.20698714339186863,0.44260024428900807,0.025167126255193108,0.20698714339186863,0.8878968661291192,0.44260024428900807,0.0009749713526329664,0.5518673795855289,1.0,0.5,0.001167429503846407,inf
Battery Holder,Motor,1,1,0.3194239489123243,0.3194239489123243,0.4615347197339704,0.027029958462954088,0.31942394891232434,0.896528348448915,0.4615347197339704,0.0010113614368002061,0.5801401977741425,1.0,0.5,0.0009221879901595287,inf
Battery Holder,Gear,1,1,0.2624760545597906,0.2624760545597906,0.4515660406646689,0.025831242063421318,0.26247605455979056,0.8960640145829509,0.4515660406646689,0.0009764233620832592,0.5615426062864053,1.0,0.5,0.0008419219238306266,inf
Battery Holder,Bit Holder,1,1,0.6046934995563731,0.6046934995563731,0.5293345999414727,0.03547521719584303,0.6046934995563731,0.9007362466520931,0.5293345999414727,0.001206752914463842,0.6712895114572374,1.0,0.5,0.001385427152934326,inf
Battery Holder,Trigger,1,1,0.19690196412510796,0.19690196412510796,0.4410419736887933,0.02525176838212614,0.19690196412510794,0.8850915256643925,0.4410419736887933,0.0009606889835638853,0.5475555727255303,1.0,0.5,0.001661893767509545,inf
Battery Holder,Battery,1,1,0.6478353245273976,0.6478353245273976,0.5437018465160378,0.037032068801605526,0.6478353245273978,0.9204495612927825,0.5437018465160378,0.0012202562914978576,0.6840615027870692,1.0,0.5,0.0007939972201415426,inf
Battery Holder,Chuck,1,1,0.1342016949610907,0.1342016949610907,0.4317973001199892,0.023879347761441256,0.1342016949610907,0.8740160626678172,0.4317973001199892,0.0009302903443965041,0.5279857305869335,1.0,0.5,0.0011753238220829267,inf
