ground_truth_component,predicted_component,ground_truth_value,predicted_value,embedding_similarity,cosine,euclidean,manhattan,dot_product,chebyshev,minkowski,canberra,braycurtis,jaccard,hamming,wasserstein,jensenshannon
Bit,Motor,1,1,0.2956049719488928,0.2956049719488928,0.45726314015775477,0.026386182278170786,0.2956049719488928,0.9056923691862302,0.45726314015775477,0.0009904811359066346,0.5693188394949041,1.0,0.5,0.0009319810719811506,inf
Bit,Gearbox,1,1,0.2403677042328719,0.2403677042328719,0.4479113841096532,0.02530095588812954,0.2403677042328719,0.8976904799249448,0.4479113841096532,0.0009540790751045195,0.5531905231572928,1.0,0.5,0.0008988415974850255,inf
Bit,Chuck,1,1,0.3205210416702007,0.3205210416702007,0.46173520001612034,0.02699764458223709,0.3205210416702007,0.9048071975711981,0.46173520001612034,0.0009903817295542486,0.5763240759663413,1.0,0.5,0.0012287509625771675,inf
Bit,Handle,1,1,0.4028320812001529,0.4028320812001529,0.4778157978517206,0.028807284412272646,0.4028320812001529,0.9025467068766482,0.4778157978517206,0.0010378961148539536,0.6012110671130275,1.0,0.5,0.0010741866902932828,inf
Bit,Battery,1,1,0.4253350886462588,0.4253350886462588,0.4826096488860606,0.029062159026842855,0.4253350886462587,0.9178736953675642,0.4826096488860606,0.0010395002850509425,0.605721755299313,1.0,0.5,0.0009243766626146524,inf
Bit,Switch,1,1,0.40142150784619424,0.40142150784619424,0.4775214667059712,0.028789045869884324,0.40142150784619435,0.9090430019194089,0.4775214667059712,0.0010364213061643227,0.6021553174033709,1.0,0.5,0.000739470949035296,inf
Bit,Transmission,1,1,0.31835441719512736,0.31835441719512736,0.4613396030483786,0.02719859872865378,0.31835441719512736,0.8845253761738987,0.4613396030483786,0.0010011355929202658,0.5790819371623831,1.0,0.5,0.0011865898271903306,inf
Transmission,Motor,1,1,0.450791033374901,0.450791033374901,0.48826829037588204,0.029856063041136832,0.45079103337490106,0.9035356716074912,0.48826829037588204,0.0010681986929055262,0.6161393033640468,1.0,0.5,0.000921343470405252,inf
Transmission,Gearbox,1,1,0.5240810282102675,0.5240810282102675,0.506169747692704,0.03184743507708019,0.5240810282102675,0.9169611722501757,0.506169747692704,0.0011252217789503127,0.6382638031964571,1.0,0.5,0.0011963371765523574,inf
Transmission,Chuck,1,1,0.3099030335616202,0.3099030335616202,0.45980889200963004,0.026710184667629994,0.30990303356162024,0.8556081638746112,0.45980889200963004,0.0009893721192041648,0.5733952517987052,1.0,0.5,0.0005323997169226489,inf
Transmission,Handle,1,1,0.407224608013385,0.407224608013385,0.4787368940150588,0.02886058391342528,0.40722460801338495,0.8869185641619187,0.4787368940150588,0.001033717166772563,0.6031678213080468,1.0,0.5,0.0008017426198574004,inf
Transmission,Battery,1,1,0.38628508143794615,0.38628508143794615,0.4744070819555752,0.028306730096513313,0.3862850814379462,0.9088975244672644,0.4744070819555752,0.0010322185973786144,0.5970257951001435,1.0,0.5,0.0010006257080844925,inf
Transmission,Switch,1,1,0.5346320113836324,0.5346320113836324,0.5089714816199767,0.03240708799268947,0.5346320113836325,0.9181029153364832,0.5089714816199767,0.0011062265160477701,0.6397676896775032,1.0,0.5,0.0006944453826429611,inf
Transmission,Transmission,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Motor,1,1,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf
Motor,Gearbox,1,1,0.47564952949907235,0.47564952949907235,0.4940562636206298,0.030793542913099454,0.47564952949907235,0.9100278329968591,0.4940562636206298,0.0011001643057627325,0.6275962063612092,1.0,0.5,0.0009003633241633221,inf
Motor,Chuck,1,1,0.2631378005027113,0.2631378005027113,0.45167720314612797,0.02620470034466682,0.2631378005027113,0.8702972573392125,0.45167720314612797,0.0009946571300255382,0.5651532920746511,1.0,0.5,0.0011254350539737046,inf
Motor,Handle,1,1,0.42492706672907565,0.42492706672907565,0.4825210319129048,0.02953982235507325,0.4249270667290756,0.9000548545175042,0.4825210319129048,0.0010617622731063183,0.6122689821626354,1.0,0.5,0.0008421446331060585,inf
