task,model,domain,reference_combo,n_runs,cells_per_matrix,total_cells,unsure_count,unsure_pct,experiment,status
i,deepseek-r1:14b-5k,CubeSat,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,deepseek-r1:14b-5k,CubeSat,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R2_R3,5,36,180,144,80.0,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_rag_refs_R3,5,36,180,66,36.7,20250216-182422,reported
i,deepseek-r1:14b-5k,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250216-063617,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_graph_refs_R1_R2,,,,,,,no_archived_runs
i,gpt-4-turbo-preview,CubeSat,llm_rag_graph_refs_R2_R3,,,,,,,no_archived_runs
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R2,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R1_R3,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R2,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R2_R3,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_rag_refs_R3,5,36,180,0,0.0,20250216-142944,reported
i,gpt-4-turbo-preview,CubeSat,llm_refs_baseline,5,36,180,0,0.0,20250216-062607,reported
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1,5,36,180,150,83.3,20250216-143918,reported
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R2,5,36,180,150,83.3,20250216-143918,reported
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R2_R3,5,36,180,150,83.3,20250216-143918,reported
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R1_R3,5,36,180,150,83.3,20250216-143918,reported
i,gpt-4o-2024-11-20,CubeSat,llm_rag_refs_R2,5,36,180,150,83.3,20250216-143918,reported
